,seller,offerType,price,abtest,vehicleType,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,Age
1347,privat,Angebot,200,control,kleinwagen,manuell,45,,150000,benzin,volkswagen,ja,26.08
1348,privat,Angebot,9300,test,kleinwagen,automatik,105,fabia,20000,benzin,skoda,nein,11.58
1349,privat,Angebot,1500,control,kleinwagen,manuell,59,polo,150000,benzin,volkswagen,nein,20.83
1350,privat,Angebot,6800,test,kombi,manuell,218,5er,150000,diesel,bmw,nein,17.58
1351,privat,Angebot,11250,test,suv,automatik,120,andere,150000,diesel,mercedes_benz,nein,22.58
1352,privat,Angebot,1700,test,limousine,manuell,102,3er,150000,benzin,bmw,nein,26.75
1353,privat,Angebot,2100,test,limousine,manuell,143,5er,150000,diesel,bmw,nein,25.0
1354,privat,Angebot,2350,test,limousine,manuell,75,golf,150000,benzin,volkswagen,nein,17.5
1355,privat,Angebot,4498,test,kleinwagen,manuell,90,one,150000,benzin,mini,nein,15.33
1357,privat,Angebot,800,control,kleinwagen,manuell,45,corsa,150000,benzin,opel,nein,25.25
1358,privat,Angebot,750,test,limousine,manuell,26,601,5000,benzin,trabant,ja,32.42
1359,privat,Angebot,750,control,kleinwagen,manuell,64,corsa,125000,benzin,opel,ja,21.5
1360,privat,Angebot,2800,test,coupe,automatik,173,,125000,benzin,sonstige_autos,nein,41.08
1361,privat,Angebot,10000,test,cabrio,manuell,170,3er,150000,lpg,bmw,nein,17.67
1362,privat,Angebot,350,control,kleinwagen,manuell,45,corsa,150000,,opel,ja,25.17
1363,privat,Angebot,2200,test,kleinwagen,manuell,116,3er,150000,benzin,bmw,nein,20.33
1364,privat,Angebot,1200,control,kleinwagen,manuell,54,corsa,150000,benzin,opel,nein,20.33
1365,privat,Angebot,6500,test,limousine,manuell,231,3er,90000,benzin,bmw,nein,20.67
1366,privat,Angebot,3650,control,coupe,automatik,218,clk,150000,benzin,mercedes_benz,nein,21.17
1367,privat,Angebot,2299,test,kombi,automatik,140,v70,150000,diesel,volvo,nein,23.33
1368,privat,Angebot,10290,control,kombi,manuell,170,octavia,90000,diesel,skoda,nein,14.08
1369,privat,Angebot,16490,test,suv,automatik,122,yeti,30000,benzin,skoda,nein,8.42
1370,privat,Angebot,800,test,kleinwagen,automatik,90,golf,150000,benzin,volkswagen,nein,29.42
1372,privat,Angebot,12500,test,coupe,manuell,160,andere,150000,benzin,porsche,nein,33.42
1373,privat,Angebot,1280,test,,manuell,150,a4,150000,,audi,,4.92
1374,privat,Angebot,14000,control,suv,manuell,140,yeti,60000,diesel,skoda,nein,11.33
1375,privat,Angebot,9000,control,kombi,manuell,179,a6,150000,diesel,audi,nein,14.58
1376,privat,Angebot,15492,control,kombi,manuell,170,a4,150000,diesel,audi,nein,13.0
1377,privat,Angebot,5490,control,kleinwagen,manuell,116,cooper,125000,benzin,mini,nein,16.58
1378,privat,Angebot,4000,control,kombi,manuell,177,vectra,150000,,opel,nein,17.25
1379,privat,Angebot,750,control,kleinwagen,manuell,60,polo,150000,benzin,volkswagen,nein,24.75
1380,privat,Angebot,4800,test,kombi,automatik,192,3er,150000,benzin,bmw,,19.33
1381,privat,Angebot,6500,control,kombi,manuell,150,signum,150000,diesel,opel,nein,15.0
1382,privat,Angebot,2800,control,kleinwagen,manuell,67,matiz,40000,benzin,chevrolet,nein,13.67
1384,privat,Angebot,14300,control,limousine,manuell,131,insignia,50000,diesel,opel,nein,9.83
1386,privat,Angebot,625,test,,automatik,100,astra,150000,benzin,opel,,4.0
1387,privat,Angebot,2300,control,kleinwagen,manuell,54,fox,125000,benzin,volkswagen,nein,16.75
1388,privat,Angebot,12590,control,kombi,manuell,136,a4,150000,diesel,audi,,11.17
1389,privat,Angebot,850,control,,manuell,60,punto,150000,,fiat,,5.42
1390,privat,Angebot,950,test,kleinwagen,manuell,58,corsa,150000,benzin,opel,nein,19.08
1391,privat,Angebot,3200,test,bus,,130,transporter,150000,diesel,volkswagen,,20.42
1392,privat,Angebot,1000,control,kombi,manuell,140,850,150000,benzin,volvo,,28.25
1394,privat,Angebot,12500,test,kombi,automatik,105,octavia,60000,diesel,skoda,nein,10.75
1395,privat,Angebot,949,control,kleinwagen,manuell,58,corsa,150000,benzin,opel,nein,21.25
1396,privat,Angebot,900,test,kombi,manuell,170,vectra,80000,,opel,,20.25
1397,privat,Angebot,1150,test,kleinwagen,manuell,86,yaris,150000,benzin,toyota,nein,21.17
1398,privat,Angebot,2800,control,kleinwagen,manuell,68,fiesta,150000,diesel,ford,nein,17.42
1399,privat,Angebot,11999,test,limousine,manuell,122,1er,5000,benzin,bmw,nein,12.75
1400,privat,Angebot,18400,test,limousine,automatik,170,c_klasse,100000,diesel,mercedes_benz,nein,9.08
1402,privat,Angebot,1650,control,limousine,automatik,115,80,150000,benzin,audi,nein,29.42
1403,privat,Angebot,5200,test,cabrio,manuell,120,2_reihe,125000,benzin,peugeot,nein,14.67
1405,privat,Angebot,27000,test,kombi,automatik,204,5er,100000,diesel,bmw,nein,10.33
1407,privat,Angebot,1250,control,kombi,manuell,101,golf,150000,benzin,volkswagen,,23.25
1408,privat,Angebot,8800,test,cabrio,manuell,145,focus,70000,benzin,ford,,13.17
1409,privat,Angebot,650,control,kleinwagen,manuell,65,punto,150000,benzin,fiat,,18.42
1410,privat,Angebot,11500,control,limousine,automatik,156,outlander,150000,diesel,mitsubishi,nein,11.92
1412,privat,Angebot,8850,control,cabrio,manuell,118,z_reihe,100000,benzin,bmw,nein,22.92
1413,privat,Angebot,3900,test,kleinwagen,manuell,60,fox,100000,benzin,volkswagen,nein,11.33
1415,privat,Angebot,800,control,limousine,manuell,75,civic,150000,benzin,honda,nein,25.83
1416,privat,Angebot,500,control,cabrio,manuell,101,golf,150000,benzin,volkswagen,nein,24.33
1417,privat,Angebot,2700,test,kleinwagen,manuell,71,corsa,150000,diesel,opel,nein,17.08
1418,privat,Angebot,1399,control,bus,manuell,101,andere,150000,diesel,mazda,nein,19.58
1419,privat,Angebot,18800,test,limousine,automatik,231,e_klasse,150000,diesel,mercedes_benz,nein,12.75
1421,privat,Angebot,4200,control,coupe,manuell,190,astra,125000,benzin,opel,nein,20.5
1424,privat,Angebot,1545,test,bus,manuell,86,andere,150000,benzin,mitsubishi,nein,21.17
1425,privat,Angebot,8990,control,limousine,manuell,110,golf,125000,diesel,volkswagen,nein,12.33
1426,privat,Angebot,2450,control,,manuell,138,zafira,150000,,opel,nein,4.67
1427,privat,Angebot,1200,control,,manuell,80,kangoo,150000,diesel,renault,ja,4.83
1428,privat,Angebot,12470,control,kombi,manuell,231,3er,150000,diesel,bmw,nein,17.0
1429,privat,Angebot,750,test,kombi,manuell,26,601,40000,benzin,trabant,ja,32.08
1430,privat,Angebot,3000,test,kombi,manuell,109,3_reihe,125000,benzin,peugeot,nein,16.33
1431,privat,Angebot,3200,test,cabrio,manuell,204,3er,150000,benzin,bmw,nein,25.25
1432,privat,Angebot,100,control,kombi,manuell,90,escort,150000,benzin,ford,ja,26.08
1433,privat,Angebot,3800,test,coupe,automatik,387,e_klasse,60000,benzin,mercedes_benz,ja,12.58
1434,privat,Angebot,1000,control,bus,manuell,128,andere,150000,diesel,peugeot,ja,18.58
1436,privat,Angebot,4444,control,limousine,manuell,192,3er,150000,benzin,bmw,nein,19.08
1437,privat,Angebot,650,control,kleinwagen,manuell,60,polo,150000,,volkswagen,nein,24.08
1439,privat,Angebot,6600,control,kombi,automatik,204,e_klasse,150000,diesel,mercedes_benz,nein,18.25
1440,privat,Angebot,4500,test,cabrio,automatik,136,clk,150000,benzin,mercedes_benz,nein,22.67
1441,privat,Angebot,6200,test,limousine,manuell,150,a3,150000,benzin,audi,ja,18.83
1442,privat,Angebot,16500,test,coupe,automatik,218,1er,150000,benzin,bmw,nein,12.58
1443,privat,Angebot,4485,test,bus,manuell,116,5_reihe,150000,benzin,mazda,nein,16.58
1444,privat,Angebot,8900,control,bus,manuell,140,touran,150000,diesel,volkswagen,nein,14.75
1445,privat,Angebot,3800,test,limousine,manuell,116,almera,70000,benzin,nissan,nein,18.25
1446,privat,Angebot,1700,test,kleinwagen,manuell,60,c2,150000,diesel,citroen,nein,17.17
1447,privat,Angebot,2990,control,limousine,automatik,170,e_klasse,150000,diesel,mercedes_benz,nein,20.67
1448,privat,Angebot,1600,test,limousine,manuell,150,a6,150000,benzin,audi,,26.67
1449,privat,Angebot,750,control,kleinwagen,manuell,58,twingo,150000,benzin,renault,nein,18.58
1450,privat,Angebot,9500,control,suv,automatik,231,x_reihe,125000,benzin,bmw,nein,14.42
1451,privat,Angebot,69900,control,limousine,automatik,258,s_klasse,60000,diesel,mercedes_benz,nein,8.83
1452,privat,Angebot,12000,control,kombi,automatik,143,a4,150000,diesel,audi,nein,13.75
1453,privat,Angebot,7300,control,suv,manuell,140,sorento,125000,diesel,kia,nein,18.83
1454,privat,Angebot,28500,control,kombi,automatik,265,andere,50000,benzin,audi,nein,9.5
1456,privat,Angebot,1700,test,limousine,automatik,150,5er,150000,benzin,bmw,ja,24.5
1457,privat,Angebot,4510,control,suv,manuell,82,jimny,150000,benzin,suzuki,nein,17.42
1458,privat,Angebot,2750,control,kleinwagen,manuell,69,fiesta,125000,,ford,,18.58
1459,privat,Angebot,1400,test,kleinwagen,manuell,58,corsa,150000,benzin,opel,nein,18.42
1460,privat,Angebot,1200,control,kombi,manuell,75,golf,150000,diesel,volkswagen,nein,23.0
1461,privat,Angebot,749,control,kleinwagen,manuell,60,corsa,150000,benzin,opel,nein,24.08
1462,privat,Angebot,73996,control,cabrio,manuell,420,911,125000,benzin,porsche,nein,17.83
1463,privat,Angebot,850,control,coupe,manuell,102,3er,150000,benzin,bmw,nein,24.0
1464,privat,Angebot,2850,test,limousine,manuell,180,c_klasse,150000,benzin,mercedes_benz,nein,19.0
1465,privat,Angebot,1199,test,kombi,manuell,118,3er,150000,benzin,bmw,nein,24.0
1466,privat,Angebot,18500,test,coupe,automatik,160,a5,70000,benzin,audi,nein,11.5
1467,privat,Angebot,1350,control,kleinwagen,manuell,54,polo,150000,benzin,volkswagen,ja,18.25
1468,privat,Angebot,28900,test,kombi,manuell,184,3er,30000,diesel,bmw,nein,10.0
1469,privat,Angebot,6250,test,suv,automatik,163,m_klasse,150000,diesel,mercedes_benz,nein,18.33
1470,privat,Angebot,180,control,kleinwagen,manuell,65,andere,125000,benzin,skoda,,26.08
1471,privat,Angebot,21900,control,limousine,manuell,150,golf,20000,diesel,volkswagen,nein,6.08
1472,privat,Angebot,3950,test,limousine,automatik,136,3er,150000,diesel,bmw,nein,21.83
1473,privat,Angebot,2100,control,kleinwagen,manuell,75,corsa,150000,benzin,opel,nein,19.67
1474,privat,Angebot,9500,test,,manuell,330,golf,150000,,volkswagen,nein,5.42
1475,privat,Angebot,5200,test,suv,manuell,82,jimny,125000,benzin,suzuki,nein,18.17
1476,privat,Angebot,7400,control,bus,manuell,145,c_max,90000,benzin,ford,nein,13.33
1477,privat,Angebot,5500,control,kleinwagen,manuell,69,i_reihe,30000,benzin,hyundai,nein,8.83
1478,privat,Angebot,11499,test,limousine,manuell,86,golf,70000,benzin,volkswagen,nein,9.25
1479,privat,Angebot,2900,test,cabrio,manuell,95,ka,100000,benzin,ford,nein,19.0
1480,privat,Angebot,4350,control,kombi,automatik,170,a4,150000,benzin,audi,nein,18.33
1482,privat,Angebot,3500,control,limousine,manuell,116,3er,125000,benzin,bmw,nein,18.92
1483,privat,Angebot,17200,control,bus,manuell,140,touran,70000,benzin,volkswagen,nein,10.42
1484,privat,Angebot,4250,control,coupe,manuell,143,c_klasse,150000,benzin,mercedes_benz,nein,19.0
1485,privat,Angebot,1200,test,bus,manuell,115,zafira,150000,benzin,opel,ja,21.42
1486,privat,Angebot,3600,test,limousine,manuell,105,golf,150000,diesel,volkswagen,ja,18.83
1487,privat,Angebot,1300,test,limousine,automatik,193,c_klasse,150000,benzin,mercedes_benz,nein,26.17
1489,privat,Angebot,4550,control,kombi,manuell,163,c_klasse,150000,benzin,mercedes_benz,nein,19.67
1490,privat,Angebot,2750,control,kleinwagen,automatik,95,forfour,150000,diesel,smart,nein,17.5
1491,privat,Angebot,8900,test,cabrio,automatik,179,c_reihe,150000,diesel,volvo,nein,14.42
1492,privat,Angebot,8599,control,limousine,automatik,275,a8,150000,diesel,audi,nein,18.83
1493,privat,Angebot,10500,control,kombi,manuell,105,passat,150000,diesel,volkswagen,nein,14.67
1495,privat,Angebot,850,test,cabrio,manuell,101,golf,150000,benzin,volkswagen,ja,24.58
1496,privat,Angebot,4950,test,limousine,automatik,170,golf,150000,benzin,volkswagen,nein,19.83
1497,privat,Angebot,150,test,kleinwagen,manuell,75,golf,150000,,volkswagen,ja,25.92
1498,privat,Angebot,8200,control,limousine,manuell,150,x_reihe,150000,diesel,bmw,nein,14.17
1499,privat,Angebot,29900,test,limousine,automatik,258,x_reihe,125000,diesel,bmw,nein,10.58
1500,privat,Angebot,650,test,kleinwagen,manuell,45,polo,150000,benzin,volkswagen,,27.42
1501,privat,Angebot,6850,control,suv,automatik,250,m_klasse,150000,diesel,mercedes_benz,nein,20.83
1503,privat,Angebot,9800,control,kombi,manuell,160,a3,150000,benzin,audi,nein,14.33
1504,privat,Angebot,2993,control,kombi,manuell,150,3er,150000,diesel,bmw,nein,17.83
1505,privat,Angebot,19850,test,limousine,automatik,177,v40,50000,diesel,volvo,nein,8.67
1506,privat,Angebot,7000,test,kleinwagen,manuell,102,a3,70000,benzin,audi,nein,14.67
1508,privat,Angebot,8550,control,cabrio,automatik,163,slk,70000,benzin,mercedes_benz,nein,19.58
1509,privat,Angebot,500,test,limousine,manuell,86,corolla,150000,benzin,toyota,nein,23.42
1510,privat,Angebot,2200,test,kleinwagen,automatik,75,corsa,125000,benzin,opel,nein,18.33
1512,privat,Angebot,1189,control,kleinwagen,manuell,50,ibiza,100000,benzin,seat,ja,24.5
1513,privat,Angebot,4400,test,kombi,manuell,69,fabia,50000,benzin,skoda,ja,12.92
1514,privat,Angebot,3400,test,suv,manuell,120,freelander,150000,benzin,land_rover,nein,21.17
1515,privat,Angebot,21980,control,limousine,automatik,156,a_klasse,40000,benzin,mercedes_benz,nein,8.83
1516,privat,Angebot,800,test,kombi,manuell,100,astra,150000,benzin,opel,,22.83
1517,privat,Angebot,14900,test,limousine,automatik,367,7er,150000,benzin,bmw,nein,15.08
1518,privat,Angebot,750,test,limousine,manuell,211,omega,125000,benzin,opel,nein,20.42
1519,privat,Angebot,4900,test,limousine,manuell,109,2_reihe,150000,diesel,peugeot,,13.92
1520,privat,Angebot,5890,test,kleinwagen,automatik,84,fortwo,60000,benzin,smart,nein,10.5
1522,privat,Angebot,2750,control,kombi,manuell,109,,150000,diesel,ford,,12.0
1523,privat,Angebot,700,test,bus,manuell,114,almera,150000,diesel,nissan,ja,20.0
1524,privat,Angebot,39500,control,suv,automatik,401,,50000,benzin,sonstige_autos,nein,8.5
1525,privat,Angebot,950,control,cabrio,manuell,75,golf,150000,benzin,volkswagen,ja,22.25
1526,privat,Angebot,3490,control,kleinwagen,manuell,54,polo,150000,benzin,volkswagen,nein,15.5
1527,privat,Angebot,4900,test,kleinwagen,manuell,75,a2,150000,diesel,audi,nein,19.67
1528,privat,Angebot,1950,control,,manuell,100,golf,150000,,volkswagen,nein,4.0
1529,privat,Angebot,3500,test,limousine,manuell,115,beetle,150000,benzin,volkswagen,nein,23.0
1530,privat,Angebot,850,test,,,75,passat,150000,diesel,volkswagen,,5.17
1531,privat,Angebot,3800,control,limousine,automatik,179,a6,150000,diesel,audi,nein,21.33
1532,privat,Angebot,2600,control,kleinwagen,automatik,73,c2,125000,benzin,citroen,nein,18.75
1533,privat,Angebot,4500,control,kleinwagen,manuell,102,golf,150000,lpg,volkswagen,,14.33
1534,privat,Angebot,400,control,limousine,manuell,75,andere,150000,benzin,hyundai,ja,21.0
1537,privat,Angebot,21800,test,suv,automatik,140,tiguan,50000,diesel,volkswagen,nein,10.5
1538,privat,Angebot,4995,control,kombi,manuell,116,ceed,150000,diesel,kia,nein,13.25
1540,privat,Angebot,1990,control,coupe,automatik,54,fortwo,100000,benzin,smart,nein,19.92
1541,privat,Angebot,13500,control,limousine,automatik,156,c_klasse,125000,benzin,mercedes_benz,nein,13.92
1542,privat,Angebot,4150,control,kleinwagen,manuell,68,andere,50000,benzin,nissan,nein,12.83
1543,privat,Angebot,1500,test,cabrio,automatik,170,900,20000,benzin,saab,,26.42
1544,privat,Angebot,3790,control,kleinwagen,automatik,71,fortwo,80000,benzin,smart,nein,14.25
1545,privat,Angebot,2800,control,kleinwagen,manuell,69,,150000,diesel,volkswagen,nein,15.67
1546,privat,Angebot,1800,control,,manuell,75,golf,150000,benzin,volkswagen,nein,4.5
1547,privat,Angebot,300,control,bus,manuell,114,espace,150000,benzin,renault,ja,23.0
1548,privat,Angebot,7999,control,,,65,,150000,benzin,sonstige_autos,,61.5
1549,privat,Angebot,2700,control,andere,manuell,84,andere,150000,diesel,volkswagen,nein,33.25
1550,privat,Angebot,10300,test,coupe,automatik,224,clk,150000,diesel,mercedes_benz,nein,14.25
1551,privat,Angebot,3200,test,,manuell,140,passat,150000,diesel,volkswagen,,3.0
1552,privat,Angebot,5600,control,suv,automatik,163,m_klasse,150000,,mercedes_benz,nein,19.92
1554,privat,Angebot,17299,control,limousine,automatik,272,s_klasse,150000,lpg,mercedes_benz,nein,15.5
1555,privat,Angebot,37450,test,cabrio,manuell,177,andere,5000,benzin,audi,nein,5.25
1556,privat,Angebot,1000,control,kleinwagen,manuell,50,,150000,benzin,volkswagen,ja,22.67
1557,privat,Angebot,4400,test,cabrio,manuell,140,mx_reihe,125000,benzin,mazda,nein,17.17
1558,privat,Angebot,12000,test,suv,manuell,135,i_reihe,50000,benzin,hyundai,nein,9.67
1559,privat,Angebot,999,test,limousine,manuell,75,andere,60000,benzin,hyundai,nein,22.5
1560,privat,Angebot,15800,control,bus,manuell,190,sprinter,125000,diesel,mercedes_benz,nein,12.58
1562,privat,Angebot,6900,control,kleinwagen,manuell,71,twingo,5000,benzin,renault,,5.08
1563,privat,Angebot,200,test,kombi,manuell,75,3_reihe,150000,benzin,peugeot,nein,24.17
1564,privat,Angebot,54500,test,cabrio,manuell,345,911,40000,benzin,porsche,nein,11.58
1565,privat,Angebot,3200,test,limousine,manuell,131,passat,150000,diesel,volkswagen,nein,18.25
1566,privat,Angebot,350,control,kleinwagen,manuell,90,clio,150000,benzin,renault,ja,21.67
1568,privat,Angebot,899,test,kleinwagen,manuell,60,micra,150000,benzin,nissan,nein,20.08
1569,privat,Angebot,7590,control,limousine,manuell,122,3er,150000,diesel,bmw,nein,15.75
1570,privat,Angebot,11111,test,limousine,automatik,200,leon,80000,benzin,seat,nein,13.58
1571,privat,Angebot,600,test,limousine,manuell,75,astra,150000,benzin,opel,ja,23.67
1572,privat,Angebot,9400,test,,manuell,140,a3,150000,diesel,audi,nein,5.0
1573,privat,Angebot,2300,test,limousine,manuell,103,astra,125000,benzin,opel,nein,17.42
1574,privat,Angebot,25990,test,bus,automatik,224,viano,100000,diesel,mercedes_benz,nein,10.33
1575,privat,Angebot,650,test,limousine,manuell,75,vectra,150000,benzin,opel,nein,24.42
1578,privat,Angebot,570,control,kleinwagen,manuell,48,micra,150000,benzin,nissan,nein,23.67
1579,privat,Angebot,900,control,kleinwagen,manuell,75,corsa,150000,benzin,opel,nein,20.17
1580,privat,Angebot,1150,control,kombi,manuell,90,golf,150000,diesel,volkswagen,,22.42
1581,privat,Angebot,24850,test,kombi,manuell,381,andere,150000,benzin,audi,nein,20.67
1582,privat,Angebot,3990,test,bus,manuell,113,scenic,150000,benzin,renault,nein,16.58
1583,privat,Angebot,7900,control,kleinwagen,manuell,75,citigo,10000,benzin,skoda,nein,7.75
1584,privat,Angebot,5500,test,limousine,manuell,136,focus,150000,diesel,ford,nein,15.25
1585,privat,Angebot,21500,test,limousine,automatik,367,5er,80000,benzin,bmw,nein,15.33
1586,privat,Angebot,11500,control,limousine,automatik,184,5er,125000,diesel,bmw,nein,10.08
1589,privat,Angebot,1999,test,cabrio,manuell,147,astra,150000,benzin,opel,nein,18.58
1590,privat,Angebot,1000,test,kombi,manuell,90,golf,150000,diesel,volkswagen,nein,26.83
1591,privat,Angebot,11000,test,kleinwagen,manuell,120,cooper,70000,benzin,mini,nein,13.5
1592,privat,Angebot,24500,test,cabrio,automatik,328,andere,20000,benzin,nissan,nein,10.33
1593,privat,Angebot,2800,test,,automatik,170,5er,150000,,bmw,,5.5
1594,privat,Angebot,2550,control,kleinwagen,manuell,58,clio,150000,benzin,renault,nein,15.58
1595,privat,Angebot,5500,control,kleinwagen,manuell,82,fiesta,150000,benzin,ford,nein,11.75
1596,privat,Angebot,4499,control,cabrio,manuell,26,601,90000,benzin,trabant,nein,33.33
1597,privat,Angebot,2300,control,kombi,automatik,170,5er,150000,benzin,bmw,nein,23.5
1598,privat,Angebot,3750,control,kleinwagen,manuell,67,i_reihe,50000,benzin,hyundai,nein,12.33
1599,privat,Angebot,19999,test,limousine,manuell,170,a5,150000,benzin,audi,ja,9.08
1600,privat,Angebot,6000,control,bus,manuell,150,zafira,150000,cng,opel,nein,12.67
1601,privat,Angebot,3100,control,kombi,manuell,101,astra,150000,diesel,opel,nein,15.42
1602,privat,Angebot,19500,test,kombi,automatik,160,insignia,50000,diesel,opel,nein,8.25
1603,privat,Angebot,8000,test,limousine,manuell,170,5er,125000,benzin,bmw,nein,18.67
1604,privat,Angebot,10999,test,limousine,manuell,141,andere,20000,benzin,chevrolet,nein,11.33
1605,privat,Angebot,1999,control,cabrio,manuell,90,tigra,125000,benzin,opel,nein,16.67
1607,privat,Angebot,1000,test,kleinwagen,manuell,60,1_reihe,125000,benzin,peugeot,nein,23.08
1608,privat,Angebot,7500,test,kleinwagen,manuell,90,golf,150000,benzin,volkswagen,nein,34.92
1609,privat,Angebot,10500,test,kombi,,218,3er,150000,benzin,bmw,nein,12.08
1610,privat,Angebot,8500,control,suv,automatik,223,grand,125000,lpg,jeep,nein,20.42
1611,privat,Angebot,499,test,kleinwagen,manuell,65,corsa,125000,benzin,opel,,21.58
1612,privat,Angebot,399,control,,manuell,75,kadett,125000,benzin,opel,nein,31.0
1613,privat,Angebot,1199,control,kleinwagen,manuell,101,,150000,benzin,audi,nein,24.5
1615,privat,Angebot,2900,test,kleinwagen,automatik,90,golf,150000,diesel,volkswagen,,21.92
1616,privat,Angebot,2700,control,limousine,manuell,101,golf,150000,diesel,volkswagen,nein,19.5
1617,privat,Angebot,777,control,limousine,manuell,77,,150000,benzin,ford,,19.17
1618,privat,Angebot,8500,test,kombi,manuell,111,3_reihe,70000,diesel,peugeot,ja,10.25
1619,privat,Angebot,3200,test,kleinwagen,manuell,75,2_reihe,125000,benzin,peugeot,nein,18.75
1620,privat,Angebot,11500,control,bus,automatik,160,,125000,benzin,sonstige_autos,,36.83
1621,privat,Angebot,8500,control,kombi,manuell,125,a3,125000,benzin,audi,ja,12.58
1622,privat,Angebot,2725,test,kombi,manuell,90,passat,150000,diesel,volkswagen,,21.75
1623,privat,Angebot,4499,test,limousine,manuell,170,5er,150000,benzin,bmw,,18.5
1626,privat,Angebot,2100,control,kleinwagen,manuell,76,andere,80000,benzin,suzuki,nein,17.25
1627,privat,Angebot,500,test,limousine,automatik,103,andere,150000,benzin,fiat,ja,22.08
1628,privat,Angebot,11800,control,kleinwagen,manuell,105,polo,90000,diesel,volkswagen,nein,10.75
1629,privat,Angebot,3200,test,limousine,automatik,173,e_klasse,150000,diesel,mercedes_benz,nein,21.17
1630,privat,Angebot,1450,test,limousine,,125,c_klasse,150000,diesel,mercedes_benz,,23.17
1631,privat,Angebot,6480,control,kombi,manuell,250,a6,150000,benzin,audi,nein,18.17
1632,privat,Angebot,1990,control,,manuell,80,andere,150000,,fiat,nein,5.17
1633,privat,Angebot,1050,control,limousine,automatik,101,astra,90000,,opel,nein,23.5
1634,privat,Angebot,2650,test,kombi,manuell,101,focus,150000,diesel,ford,nein,17.33
1635,privat,Angebot,5990,test,kombi,manuell,150,astra,150000,diesel,opel,nein,16.33
1636,privat,Angebot,2790,test,,automatik,101,,150000,diesel,bmw,,21.17
1637,privat,Angebot,15800,test,kombi,automatik,239,a6,150000,diesel,audi,nein,11.42
1638,privat,Angebot,3555,test,cabrio,manuell,147,astra,80000,benzin,opel,,19.25
1639,privat,Angebot,1650,test,suv,manuell,69,andere,125000,benzin,suzuki,nein,23.25
1640,privat,Angebot,1890,test,kleinwagen,manuell,70,corsa,150000,diesel,opel,,16.0
1641,privat,Angebot,500,test,bus,manuell,100,voyager,150000,lpg,chrysler,,26.92
1642,privat,Angebot,4499,control,kleinwagen,manuell,177,2_reihe,125000,benzin,peugeot,nein,17.0
1643,privat,Angebot,9850,test,bus,automatik,136,b_klasse,70000,benzin,mercedes_benz,nein,12.83
1644,privat,Angebot,1500,test,kleinwagen,manuell,75,twingo,150000,benzin,renault,nein,19.83
1647,privat,Angebot,7200,test,limousine,manuell,90,golf,150000,diesel,volkswagen,nein,16.08
1648,privat,Angebot,400,control,cabrio,manuell,72,astra,150000,benzin,opel,,28.0
1649,privat,Angebot,380,test,,manuell,106,corsa,150000,,opel,,5.0
1650,privat,Angebot,600,test,limousine,manuell,150,a3,150000,benzin,audi,ja,23.33
1651,privat,Angebot,15990,test,coupe,manuell,197,3er,150000,diesel,bmw,nein,14.58
1652,privat,Angebot,3800,control,kombi,manuell,155,vectra,150000,benzin,opel,nein,16.08
1653,privat,Angebot,900,test,limousine,automatik,150,passat,150000,,volkswagen,,21.25
1655,privat,Angebot,8390,test,kleinwagen,manuell,69,ibiza,50000,benzin,seat,nein,7.25
1656,privat,Angebot,1400,control,kleinwagen,manuell,75,2_reihe,150000,benzin,peugeot,ja,21.42
1657,privat,Angebot,1800,control,limousine,manuell,88,c4,80000,benzin,citroen,ja,16.42
1658,privat,Angebot,18500,control,kombi,manuell,170,a3,125000,diesel,audi,,10.33
1659,privat,Angebot,2390,control,kombi,manuell,131,passat,150000,diesel,volkswagen,nein,19.0
1660,privat,Angebot,1500,test,kombi,manuell,140,850,125000,diesel,volvo,nein,25.67
1661,privat,Angebot,7999,control,kombi,manuell,170,octavia,150000,diesel,skoda,nein,14.0
1662,privat,Angebot,450,control,limousine,manuell,116,vectra,150000,benzin,opel,nein,22.5
1663,privat,Angebot,650,test,,manuell,170,vectra,150000,benzin,opel,nein,5.42
1665,privat,Angebot,2950,control,bus,automatik,101,meriva,90000,benzin,opel,nein,18.83
1666,privat,Angebot,8500,test,limousine,manuell,110,golf,125000,,volkswagen,nein,12.83
1667,privat,Angebot,225,control,kleinwagen,manuell,60,polo,150000,,volkswagen,,24.0
1668,privat,Angebot,1850,control,limousine,manuell,68,aygo,150000,benzin,toyota,ja,14.92
1669,privat,Angebot,10500,control,limousine,manuell,143,1er,70000,diesel,bmw,nein,14.58
1670,privat,Angebot,1450,control,limousine,manuell,170,3er,150000,benzin,bmw,nein,23.17
1671,privat,Angebot,2400,control,kombi,manuell,115,andere,150000,benzin,volvo,nein,29.83
1672,privat,Angebot,990,control,kombi,manuell,99,primera,150000,benzin,nissan,nein,22.25
1673,privat,Angebot,15300,test,kleinwagen,manuell,105,golf,40000,benzin,volkswagen,,7.42
1674,privat,Angebot,10490,control,cabrio,manuell,140,a4,150000,diesel,audi,nein,15.17
1675,privat,Angebot,800,test,kombi,manuell,116,focus,150000,,ford,,23.0
1679,privat,Angebot,3149,control,kombi,manuell,150,octavia,150000,,skoda,nein,19.42
1680,privat,Angebot,999,control,kleinwagen,manuell,68,c2,125000,diesel,citroen,ja,17.83
1681,privat,Angebot,2800,control,bus,manuell,143,5_reihe,150000,diesel,mazda,ja,16.75
